ID,MODE,EXPLOITANT,LIGNE,TIME
C01728,RER,SNCF,D,07:00:00
C01728,RER,SNCF,D,07:30:00
C01728,RER,SNCF,D,08:00:00
C01728,RER,SNCF,D,08:30:00
C01728,RER,SNCF,D,09:00:00
C01728,RER,SNCF,D,09:30:00
C01728,RER,SNCF,D,10:00:00
C01728,RER,SNCF,D,10:30:00
C01728,RER,SNCF,D,11:00:00
C01728,RER,SNCF,D,11:30:00
C01728,RER,SNCF,D,12:00:00
C01728,RER,SNCF,D,12:30:00
C01728,RER,SNCF,D,13:00:00
C01728,RER,SNCF,D,13:30:00
C01728,RER,SNCF,D,14:00:00
C01728,RER,SNCF,D,14:30:00
C01728,RER,SNCF,D,15:00:00
C01728,RER,SNCF,D,15:30:00
C01728,RER,SNCF,D,16:00:00
C01728,RER,SNCF,D,16:30:00
C01728,RER,SNCF,D,17:00:00
C01728,RER,SNCF,D,17:30:00
C01728,RER,SNCF,D,18:00:00
C01728,RER,SNCF,D,18:30:00
C01728,RER,SNCF,D,19:00:00
C01728,RER,SNCF,D,19:30:00
C01728,RER,SNCF,D,20:00:00
C01728,RER,SNCF,D,20:30:00
C01728,RER,SNCF,D,21:00:00
C01728,RER,SNCF,D,21:30:00
C01728,RER,SNCF,D,22:00:00
C01728,RER,SNCF,D,22:30:00
C01728,RER,SNCF,D,23:00:00
C01728,RER,SNCF,D,23:30:00
C01728,RER,SNCF,D,00:00:00
C01728,RER,SNCF,D,00:30:00
C01728,RER,SNCF,D,01:00:00
C01728,RER,SNCF,D,06:00:00
C01728,RER,SNCF,D,06:30:00
C01728,RER,SNCF,D,01:30:00
C01728,RER,SNCF,D,02:00:00
C01728,RER,SNCF,D,02:30:00
C01728,RER,SNCF,D,03:00:00
C01728,RER,SNCF,D,03:30:00
C01728,RER,SNCF,D,04:00:00
C01728,RER,SNCF,D,04:30:00
C01728,RER,SNCF,D,05:00:00
C01728,RER,SNCF,D,05:30:00
C01728,RER,SNCF,D,23:59:00
C01390,TRAMWAY,RATP,T2,07:00:00
C01390,TRAMWAY,RATP,T2,07:30:00
C01390,TRAMWAY,RATP,T2,08:00:00
C01390,TRAMWAY,RATP,T2,08:30:00
C01390,TRAMWAY,RATP,T2,09:00:00
C01390,TRAMWAY,RATP,T2,09:30:00
C01390,TRAMWAY,RATP,T2,10:00:00
C01390,TRAMWAY,RATP,T2,10:30:00
C01390,TRAMWAY,RATP,T2,11:00:00
C01390,TRAMWAY,RATP,T2,11:30:00
C01390,TRAMWAY,RATP,T2,12:00:00
C01390,TRAMWAY,RATP,T2,12:30:00
C01390,TRAMWAY,RATP,T2,13:00:00
C01390,TRAMWAY,RATP,T2,13:30:00
C01390,TRAMWAY,RATP,T2,14:00:00
C01390,TRAMWAY,RATP,T2,14:30:00
C01390,TRAMWAY,RATP,T2,15:00:00
C01390,TRAMWAY,RATP,T2,15:30:00
C01390,TRAMWAY,RATP,T2,16:00:00
C01390,TRAMWAY,RATP,T2,16:30:00
C01390,TRAMWAY,RATP,T2,17:00:00
C01390,TRAMWAY,RATP,T2,17:30:00
C01390,TRAMWAY,RATP,T2,18:00:00
C01390,TRAMWAY,RATP,T2,18:30:00
C01390,TRAMWAY,RATP,T2,19:00:00
C01390,TRAMWAY,RATP,T2,19:30:00
C01390,TRAMWAY,RATP,T2,20:00:00
C01390,TRAMWAY,RATP,T2,20:30:00
C01390,TRAMWAY,RATP,T2,21:00:00
C01390,TRAMWAY,RATP,T2,21:30:00
C01390,TRAMWAY,RATP,T2,22:00:00
C01390,TRAMWAY,RATP,T2,22:30:00
C01390,TRAMWAY,RATP,T2,23:00:00
C01390,TRAMWAY,RATP,T2,23:30:00
C01390,TRAMWAY,RATP,T2,00:00:00
C01390,TRAMWAY,RATP,T2,00:30:00
C01390,TRAMWAY,RATP,T2,01:00:00
C01390,TRAMWAY,RATP,T2,06:00:00
C01390,TRAMWAY,RATP,T2,06:30:00
C01390,TRAMWAY,RATP,T2,01:30:00
C01390,TRAMWAY,RATP,T2,02:00:00
C01390,TRAMWAY,RATP,T2,02:30:00
C01390,TRAMWAY,RATP,T2,03:00:00
C01390,TRAMWAY,RATP,T2,03:30:00
C01390,TRAMWAY,RATP,T2,04:00:00
C01390,TRAMWAY,RATP,T2,04:30:00
C01390,TRAMWAY,RATP,T2,05:00:00
C01390,TRAMWAY,RATP,T2,05:30:00
C01390,TRAMWAY,RATP,T2,23:59:00
C01743,RER,RATP,B,07:00:00
C01743,RER,RATP,B,07:30:00
C01743,RER,RATP,B,08:00:00
C01743,RER,RATP,B,08:30:00
C01743,RER,RATP,B,09:00:00
C01743,RER,RATP,B,09:30:00
C01743,RER,RATP,B,10:00:00
C01743,RER,RATP,B,10:30:00
C01743,RER,RATP,B,11:00:00
C01743,RER,RATP,B,11:30:00
C01743,RER,RATP,B,12:00:00
C01743,RER,RATP,B,12:30:00
C01743,RER,RATP,B,13:00:00
C01743,RER,RATP,B,13:30:00
C01743,RER,RATP,B,14:00:00
C01743,RER,RATP,B,14:30:00
C01743,RER,RATP,B,15:00:00
C01743,RER,RATP,B,15:30:00
C01743,RER,RATP,B,16:00:00
C01743,RER,RATP,B,16:30:00
C01743,RER,RATP,B,17:00:00
C01743,RER,RATP,B,17:30:00
C01743,RER,RATP,B,18:00:00
C01743,RER,RATP,B,18:30:00
C01743,RER,RATP,B,19:00:00
C01743,RER,RATP,B,19:30:00
C01743,RER,RATP,B,20:00:00
C01743,RER,RATP,B,20:30:00
C01743,RER,RATP,B,21:00:00
C01743,RER,RATP,B,21:30:00
C01743,RER,RATP,B,22:00:00
C01743,RER,RATP,B,22:30:00
C01743,RER,RATP,B,23:00:00
