ID,DATE,ROUTE,centre_BUS
C01248,2024-06-01,Ligne 258,DEFENSE OUEST
C01072,2024-06-01,Ligne 20,PARIS EST
C01133,2024-06-01,Ligne 104,CRETEIL-ST MAUR   
C01083,2024-06-01,Ligne 38,AUBERVILLIERS
C01136,2024-06-01,Ligne 107,CRETEIL-ST MAUR   
C01283,2024-06-01,Ligne 320,BORDS DE MARNE
C01076,2024-06-01,Ligne 26,BELLIARD
C01351,2024-06-01,Ligne 566,DEFENSE OUEST
C01207,2024-06-01,Ligne 186,VITRY
C01154,2024-06-01,Ligne 125,VITRY
C01249,2024-06-01,Ligne 261,SAINT DENIS
C01275,2024-06-01,Ligne 304,DEFENSE OUEST
C01172,2024-06-01,Ligne 147,PAVILLONS
C01286,2024-06-01,Ligne 322,PARIS EST
C01402,2024-06-01,Ligne N61,PARIS SUD OUEST
C01326,2024-06-01,Ligne 485,THIAIS
C01144,2024-06-01,Ligne 115,PARIS EST
C01392,2024-06-01,Ligne N24,DEFENSE OUEST
C01280,2024-06-01,Ligne 317,CRETEIL-ST MAUR   
C01082,2024-06-01,Ligne 32,BELLIARD
C01158,2024-06-01,Ligne 129,PARIS EST
C02288,2024-06-01,Ligne 193,VITRY
C01214,2024-06-01,Ligne 194,SEINE RIVE GAUCHE
C01278,2024-06-01,Ligne 310,BORDS DE MARNE
C01170,2024-06-01,Ligne 145,PAVILLONS
C01085,2024-06-01,Ligne 42,PARIS SUD OUEST
C01407,2024-06-01,Ligne N22,THIAIS
C01696,2024-06-01,Ligne 248,FLANDRE
C01350,2024-06-01,Ligne 565,DEFENSE OUEST
C02314,2024-06-01,Ligne 263,DEFENSE OUEST
C01225,2024-06-01,Ligne 211,BORDS DE MARNE
C01260,2024-06-01,Ligne 281,CRETEIL-ST MAUR   
C01089,2024-06-01,Ligne 48,PARIS EST
C01184,2024-06-01,Ligne 162,SEINE RIVE GAUCHE
C01138,2024-06-01,Ligne 109,CRETEIL-ST MAUR   
C02080,2024-06-01,Ligne 559B,DEFENSE OUEST
C01323,2024-06-01,Ligne 421,BORDS DE MARNE
C01199,2024-06-01,Ligne 178,RIVES NORD
C01807,2024-06-01,Ligne N66,SEINE RIVE GAUCHE
C01360,2024-06-01,Ligne CHOISYBUS,CRETEIL-ST MAUR   
C01125,2024-06-01,Ligne 94,MONTROUGE
C01400,2024-06-01,Ligne N31,VITRY
C01809,2024-06-01,Ligne 380,VITRY
C01354,2024-06-01,Ligne TUC,RIVES NORD
C02081,2024-06-01,Ligne 559C,DEFENSE OUEST
C01081,2024-06-01,Ligne 31,AUBERVILLIERS
C01098,2024-06-01,Ligne 62,QUAIS DE SEINE
C01342,2024-06-01,Ligne TUB,Pavillons
C01140,2024-06-01,Ligne 111,CRETEIL-ST MAUR   
C01092,2024-06-01,Ligne 54,AUBERVILLIERS
C01194,2024-06-01,Ligne 173,FLANDRE
C01236,2024-06-01,Ligne 237,RIVES NORD
C01167,2024-06-01,Ligne 141,DEFENSE OUEST
C01096,2024-06-01,Ligne 60,BELLIARD
C01308,2024-06-01,Ligne 368,SAINT DENIS
C02007,2024-06-01,Ligne 168,SAINT DENIS
C01215,2024-06-01,Ligne 195,SEINE RIVE GAUCHE
C01255,2024-06-01,Ligne 274,RIVES NORD
C01181,2024-06-01,Ligne 158,DEFENSE OUEST
C01115,2024-06-01,Ligne 83,QUAIS DE SEINE
C01182,2024-06-01,Ligne 159,DEFENSE OUEST
C01279,2024-06-01,Ligne 312,BORDS DE MARNE
C01109,2024-06-01,Ligne 74,RIVES NORD
C01268,2024-06-01,Ligne 294,SEINE RIVE GAUCHE
C01088,2024-06-01,Ligne 47,VITRY
C01151,2024-06-01,Ligne 122,PARIS EST
C01145,2024-06-01,Ligne 116,BORDS DE MARNE
C01324,2024-06-01,Ligne 467,DEFENSE OUEST
C01365,2024-06-01,Ligne TUVIM,SEINE RIVE GAUCHE
C01250,2024-06-01,Ligne 262,DEFENSE OUEST
C01414,2024-06-01,Ligne N02,PARIS SUD OUEST
C01074,2024-06-01,Ligne 22,PARIS SUD OUEST
C01319,2024-06-01,Ligne 394,SEINE RIVE GAUCHE
C01405,2024-06-01,Ligne N45,PAVILLONS
C01126,2024-06-01,Ligne 95,AUBERVILLIERS
C01305,2024-06-01,Ligne 361,SAINT DENIS
C02008,2024-06-01,Ligne 353,SAINT DENIS
C01264,2024-06-01,Ligne 289,SEINE RIVE GAUCHE
C01246,2024-06-01,Ligne 255,SAINT DENIS
C01152,2024-06-01,Ligne 123,SEINE RIVE GAUCHE
C01121,2024-06-01,Ligne 89,SEINE RIVE GAUCHE
C01420,2024-06-01,Ligne N12,PARIS EST
C01362,2024-06-01,Ligne V5,QUAIS DE SEINE
C01329,2024-06-01,Ligne CHARONNE,PARIS EST
C01356,2024-06-01,Ligne RIVER,RIVES NORD
C01197,2024-06-01,Ligne 176,DEFENSE OUEST
C01406,2024-06-01,Ligne N43,AUBERVILLIERS
C01349,2024-06-01,Ligne 564,DEFENSE OUEST
C01261,2024-06-01,Ligne ORLYBUS,QUAIS DE SEINE
C01094,2024-06-01,Ligne 57,QUAIS DE SEINE
C01124,2024-06-01,Ligne 93,DEFENSE OUEST
C02246,2024-06-01,Ligne 71,PARIS EST
