SITE,ZONES,PROGRAMME,datetime,VALUE,COLOR,SENSIBILITE
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 07:00:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 07:30:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 08:00:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 08:30:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 09:00:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 09:30:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 10:00:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 10:30:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 11:00:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 11:30:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 12:00:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 12:30:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 13:00:00,2,#FFFF00,Moyenne
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 13:00:00,3,#FFA500,Assez élevée
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 13:30:00,3,#FFA500,Assez élevée
Arena Bercy,Bercy,Gymnastique artistique (11:00-13:30); Gymnastique artistique (15:30-18:00); Gymnastique artistique (20:00-22:30),2024-07-27 14:00:00,3,#FFA500,Assez élevée
